#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 05 35 00 2 5291.868
2011 03 13 05 34 00 2 5291.868
2011 03 13 05 33 00 2 5291.868
2011 03 13 05 32 00 2 5291.867
2011 03 13 05 31 00 2 5291.866
2011 03 13 05 30 00 2 5291.866
2011 03 13 05 29 00 2 5291.870
2011 03 13 05 28 00 2 5291.873
2011 03 13 05 27 00 2 5291.877
2011 03 13 05 26 00 2 5291.879
2011 03 13 05 25 00 2 5291.876
2011 03 13 05 24 00 2 5291.878
2011 03 13 05 23 00 2 5291.876
2011 03 13 05 22 00 2 5291.873
2011 03 13 05 21 00 2 5291.876
2011 03 13 05 20 00 2 5291.877
2011 03 13 05 19 00 2 5291.872
2011 03 13 05 18 00 2 5291.873
2011 03 13 05 17 00 2 5291.877
2011 03 13 05 16 00 2 5291.875
2011 03 13 05 15 00 2 5291.877
2011 03 13 05 14 00 2 5291.876
2011 03 13 05 13 00 2 5291.877
2011 03 13 05 12 00 2 5291.876
2011 03 13 05 11 00 2 5291.876
2011 03 13 05 10 00 2 5291.875
2011 03 13 05 09 00 2 5291.874
2011 03 13 05 08 00 2 5291.874
2011 03 13 05 07 00 2 5291.870
2011 03 13 05 06 00 2 5291.866
2011 03 13 05 05 00 2 5291.871
2011 03 13 05 04 00 2 5291.869
2011 03 13 05 03 00 2 5291.864
2011 03 13 05 02 00 2 5291.860
2011 03 13 05 01 00 2 5291.857
2011 03 13 05 00 00 2 5291.855
2011 03 13 04 59 00 2 5291.852
2011 03 13 04 58 00 2 5291.853
2011 03 13 04 57 00 2 5291.853
2011 03 13 04 56 00 2 5291.853
2011 03 13 04 55 00 2 5291.852
2011 03 13 04 54 00 2 5291.853
2011 03 13 04 53 00 2 5291.856
2011 03 13 04 52 00 2 5291.855
2011 03 13 04 51 00 2 5291.856
2011 03 13 04 50 00 2 5291.860
2011 03 13 04 49 00 2 5291.861
2011 03 13 04 48 00 2 5291.865
2011 03 13 04 47 00 2 5291.870
2011 03 13 04 46 00 2 5291.873
2011 03 13 04 45 00 2 5291.872
2011 03 13 04 44 00 2 5291.869
2011 03 13 04 43 00 2 5291.865
2011 03 13 04 42 00 2 5291.861
2011 03 13 04 41 00 2 5291.856
2011 03 13 04 40 00 2 5291.854
2011 03 13 04 39 00 2 5291.854
2011 03 13 04 38 00 2 5291.853
2011 03 13 04 37 00 2 5291.852
2011 03 13 04 36 00 2 5291.850
2011 03 13 04 35 00 2 5291.851
2011 03 13 04 34 00 2 5291.850
2011 03 13 04 33 00 2 5291.852
2011 03 13 04 32 00 2 5291.855
2011 03 13 04 31 00 2 5291.852
2011 03 13 04 30 00 2 5291.848
2011 03 13 04 29 00 2 5291.840
2011 03 13 04 28 00 2 5291.837
2011 03 13 04 27 00 2 5291.840
2011 03 13 04 26 00 2 5291.842
2011 03 13 04 25 00 2 5291.843
2011 03 13 04 24 00 2 5291.848
2011 03 13 04 23 00 2 5291.855
2011 03 13 04 22 00 2 5291.856
2011 03 13 04 21 00 2 5291.856
2011 03 13 04 20 00 2 5291.858
2011 03 13 04 19 00 2 5291.857
2011 03 13 04 18 00 2 5291.858
2011 03 13 04 17 00 2 5291.857
2011 03 13 04 16 00 2 5291.856
2011 03 13 04 15 00 2 5291.860
2011 03 13 04 14 00 2 5291.856
2011 03 13 04 13 00 2 5291.858
2011 03 13 04 12 00 2 5291.865
2011 03 13 04 11 00 2 5291.866
2011 03 13 04 10 00 2 5291.868
2011 03 13 04 09 00 2 5291.869
2011 03 13 04 08 00 2 5291.871
2011 03 13 04 07 00 2 5291.870
2011 03 13 04 06 00 2 5291.869
2011 03 13 04 05 00 2 5291.867
2011 03 13 04 04 00 2 5291.864
2011 03 13 04 03 00 2 5291.865
2011 03 13 04 02 00 2 5291.864
2011 03 13 04 01 00 2 5291.862
2011 03 13 04 00 00 2 5291.867
2011 03 13 03 59 00 2 5291.872
2011 03 13 03 58 00 2 5291.873
2011 03 13 03 57 00 2 5291.875
2011 03 13 03 56 00 2 5291.879
2011 03 13 03 55 00 2 5291.881
2011 03 13 03 54 00 2 5291.884
2011 03 13 03 53 00 2 5291.885
2011 03 13 03 52 00 2 5291.888
2011 03 13 03 51 00 2 5291.895
2011 03 13 03 50 00 2 5291.896
2011 03 13 03 49 00 2 5291.893
2011 03 13 03 48 00 2 5291.895
2011 03 13 03 47 00 2 5291.900
2011 03 13 03 46 00 2 5291.902
2011 03 13 03 45 00 2 5291.898
2011 03 13 03 44 00 2 5291.898
2011 03 13 03 43 00 2 5291.898
2011 03 13 03 42 00 2 5291.897
2011 03 13 03 41 00 2 5291.898
2011 03 13 03 40 00 2 5291.899
2011 03 13 03 39 00 2 5291.895
2011 03 13 03 38 00 2 5291.892
2011 03 13 03 37 00 2 5291.888
2011 03 13 03 36 00 2 5291.886
2011 03 13 03 35 00 2 5291.884
2011 03 13 03 34 00 2 5291.882
2011 03 13 03 33 00 2 5291.876
2011 03 13 03 32 00 2 5291.874
2011 03 13 03 31 00 2 5291.879
2011 03 13 03 30 00 2 5291.882
2011 03 13 03 29 00 2 5291.879
2011 03 13 03 28 00 2 5291.880
2011 03 13 03 27 00 2 5291.882
2011 03 13 03 26 00 2 5291.886
2011 03 13 03 25 00 2 5291.889
2011 03 13 03 24 00 2 5291.894
2011 03 13 03 23 00 2 5291.897
2011 03 13 03 22 00 2 5291.902
2011 03 13 03 21 00 2 5291.905
2011 03 13 03 20 00 2 5291.910
2011 03 13 03 19 00 2 5291.914
2011 03 13 03 18 00 2 5291.916
2011 03 13 03 17 00 2 5291.922
2011 03 13 03 16 00 2 5291.928
2011 03 13 03 15 00 2 5291.930
2011 03 13 03 14 00 2 5291.943
2011 03 13 03 13 00 2 5291.950
2011 03 13 03 12 00 2 5291.954
2011 03 13 03 11 00 2 5291.960
2011 03 13 03 10 00 2 5291.961
2011 03 13 03 09 00 2 5291.961
2011 03 13 03 08 00 2 5291.969
2011 03 13 03 07 00 2 5291.977
2011 03 13 03 06 00 2 5291.981
2011 03 13 03 05 00 2 5291.986
2011 03 13 03 04 00 2 5291.990
2011 03 13 03 03 00 2 5291.996
2011 03 13 03 02 00 2 5292.001
2011 03 13 03 01 00 2 5292.007
2011 03 13 03 00 00 2 5292.009
2011 03 13 02 59 00 2 5292.014
2011 03 13 02 58 00 2 5292.017
2011 03 13 02 57 00 2 5292.014
2011 03 13 02 56 00 2 5292.009
2011 03 13 02 55 00 2 5292.007
2011 03 13 02 54 00 2 5292.007
2011 03 13 02 53 00 2 5292.004
2011 03 13 02 52 00 2 5292.008
2011 03 13 02 51 00 2 5292.007
2011 03 13 02 50 00 2 5292.012
2011 03 13 02 49 00 2 5292.008
